Year,Month,Mean
2011,2,9.026473684210526
2011,3,8.431521739130435
2011,4,9.195675
2011,5,9.899380952380954
2011,6,9.562045454545453
2011,7,10.762350000000001
2011,8,9.991804347826085
2011,9,11.136952380952382
2011,10,11.320119047619047
2011,11,10.350666666666667
2011,12,9.237261904761906
2012,1,9.210925
2012,2,9.124450000000001
2012,3,9.417159090909092
2012,4,9.7528
2012,5,11.061863636363636
2012,6,10.928309523809522
2012,7,11.19638095238095
2012,8,11.924586956521738
2012,9,12.786789473684209
2012,10,12.289857142857144
2012,11,11.686142857142856
2012,12,12.625349999999997
2013,1,13.462023809523812
2013,2,13.210999999999999
2013,3,13.271049999999999
2013,4,13.166227272727271
2013,5,13.10252272727273
2013,6,13.685950000000002
2013,7,14.905522727272729
2013,8,14.591227272727274
2013,9,15.178125
2013,10,16.263369652173914
2013,11,18.20632495
2013,12,19.60892852380952
2014,1,19.79864280952381
2014,2,17.71815789473684
2014,3,18.250475904761903
2014,4,16.156619047619046
2014,5,15.123714285714286
2014,6,16.224000190476193
2014,7,16.931431999999997
2014,8,16.355095047619052
2014,9,16.549547666666665
2014,10,15.385478130434787
2014,11,15.869789421052632
2014,12,15.505090954545453
2015,1,15.144174999999999
2015,2,18.651473894736842
2015,3,18.77068172727273
2015,4,19.69928595238095
2015,5,21.351074999999998
2015,6,21.624567954545455
2015,7,24.028113590909093
2015,8,26.015476523809525
2015,9,26.067809523809522
2015,10,28.236272909090914
2015,11,32.8608751
2015,12,33.49672736363637
2016,1,30.17171094736842
2016,2,26.593250000000005
2016,3,28.521568227272734
2016,4,30.676547523809525
2016,5,34.73197666666666
2016,6,35.8061135
2016,7,37.0995501
2016,8,38.214587565217386
2016,9,39.32040476190476
2016,10,41.34616680952382
2016,11,38.33576171428572
2016,12,38.24009485714286
2017,1,40.248650000000005
2017,2,41.67915784210526
2017,3,42.65208695652175
2017,4,45.24452610526316
2017,5,48.01370436363636
2017,6,49.7521139090909
2017,7,50.38272495
2017,8,48.66239152173913
2017,9,48.597650349999995
2017,10,49.977
2017,11,56.870142761904766
2017,12,58.54402500000001
2018,1,65.06885733333334
2018,2,72.35565710526315
2018,3,77.1080238095238
2018,4,73.79209580952381
2018,5,79.5237275909091
2018,6,84.95442928571428
2018,7,89.31528585714285
2018,8,94.59789104347827
2018,9,98.461974
2018,10,89.9815428695652
2018,11,81.11619019047619
2018,12,78.6461057368421
2019,1,81.61726195238097
2019,2,81.30663178947367
2019,3,85.99245276190476
2019,4,93.18130823809523
2019,5,93.58265822727274
2019,6,92.65852424999999
2019,7,98.24563659090909
2019,8,89.96861381818182
2019,9,90.0858005
2019,10,87.45689186956523
2019,11,88.76690105
2019,12,89.30950014285713
2020,1,94.30276161904762
2020,2,103.29268452631578
2020,3,93.15743149999999
2020,4,110.8055719047619
2020,5,119.55684965
2020,6,130.41750018181818
2020,7,152.69420350000004
2020,8,162.07133399999998
2020,9,159.02704733333331
2020,10,162.06793131818182
2020,11,157.36632625
2020,12,159.99645509090908
2021,1,160.3267637368421
2021,2,163.38292010526317
2021,3,153.72919765217395
2021,4,167.38664176190477
2021,5,163.06542355000002
2021,6,168.0006810909091
2021,7,180.63557071428573
2021,8,165.53804509090912
2021,9,171.62209638095237
2021,10,166.41842795238094
2021,11,175.92919052380952
2021,12,171.31402236363638
2022,1,156.1603745
2022,2,153.724054368421
2022,3,154.46250052173912
2022,4,152.4895737
2022,5,112.28545228571429
2022,6,113.11476128571428
2022,7,116.0679993
2022,8,137.86782773913043
2022,9,123.16380966666668
2022,10,114.12476171428571
2022,11,94.88142828571429
2022,12,88.48333376190476
